Time;Fp2-F4;F4-C4;C4-P4;P4-O2;C4-A1
35.156.250;-251.068;-38.004;87.759;89.286;89.286
35.175.781;-232.753;-37.393;85.928;93.864;84.707
35.195.313;-216.270;-39.225;80.128;95.696;61.203
35.214.844;-204.365;-42.888;70.665;95.391;0.4426
35.234.375;-197.039;-47.161;58.761;92.643;-67.002
35.253.906;-193.071;-51.435;44.719;83.181;-115.537
35.273.438;-192.460;-55.708;28.541;63.339;-138.431
35.292.969;-193.376;-60.287;10.226;34.951;-159.188
35.312.500;-193.681;-64.866;-0.7479;0.4121;-173.840
35.332.031;-190.324;-68.834;-21.520;-21.825;-165.904
35.351.563;-181.166;-70.665;-30.067;-37.698;-143.926
35.371.094;-168.040;-71.276;-34.035;-45.024;-115.842
35.390.625;-153.694;-71.276;-35.256;-48.382;-66.087
35.410.156;-139.957;-70.665;-30.983;-44.414;16.636
35.429.688;-128.968;-67.613;-18.468;-27.320;113.706
35.449.219;-122.558;-62.729;-0.0763;-0.1374;202.839
35.468.750;-124.084;-58.455;14.805;16.636;281.288
35.488.281;-133.547;-55.403;25.183;19.383;341.117
35.507.813;-144.231;-52.656;32.509;15.415;374.084
35.527.344;-149.420;-48.382;41.056;18.468;365.537
35.546.875;-147.894;-41.667;50.519;29.457;300.519
35.566.406;-141.178;-35.256;56.624;36.783;208.028
35.585.938;-127.442;-34.035;54.487;28.846;132.021
35.605.469;-106.990;-40.446;43.803;0.4731;65.476
35.625.000;-85.623;-48.993;29.457;-23.962;-20.604
35.644.531;-70.360;-55.708;16.331;-45.330;-114.927
35.664.063;-65.476;-58.455;0.6868;-52.350;-181.166
35.683.594;-70.665;-56.929;0.3205;-43.498;-217.186
35.703.125;-80.739;-52.045;0.4121;-22.741;-236.722
35.722.656;-90.201;-44.719;0.7784;0.3816;-243.742
35.742.188;-96.612;-36.477;10.836;27.015;-243.437
35.761.719;-101.496;-28.846;0.9921;38.919;-233.974
35.781.250;-105.464;-22.131;0.8394;45.330;-209.554
35.800.781;-104.548;-15.415;11.142;57.540;-180.556
35.820.313;-97.527;-10.531;18.468;77.381;-156.136
35.839.844;-89.896;-0.8700;25.794;95.696;-133.547
35.859.375;-86.538;-11.142;30.372;102.411;-118.590
35.878.906;-85.012;-16.636;32.814;100.885;-120.421
35.898.438;-81.349;-23.046;36.172;100.580;-113.706
35.917.969;-76.160;-29.151;42.888;105.769;-74.023
35.937.500;-73.718;-34.035;50.824;113.095;-10.226
35.957.031;-75.549;-38.004;57.845;116.148;84.402
35.976.563;-78.602;-42.277;59.982;106.380;199.481
35.996.094;-81.044;-47.772;55.403;81.654;285.256
36.015.625;-80.128;-53.877;48.382;53.877;323.107
36.035.156;-65.781;-57.234;44.414;38.004;334.707
36.054.688;-31.593;-57.234;44.719;38.614;331.960
36.074.219;-0.0763;-56.319;45.635;43.803;312.118
36.093.750;0.4121;-55.708;42.582;38.309;272.436
36.113.281;-0.9921;-54.487;37.393;23.046;218.101
36.132.813;-30.678;-52.045;34.035;0.8700;143.926
36.152.344;-49.298;-47.772;35.562;0.4731;31.593
36.171.875;-60.897;-40.446;43.803;16.331;-112.485
36.191.406;-64.255;-31.593;56.013;38.004;-237.943
36.210.938;-65.171;-24.267;66.087;56.929;-309.982
36.230.469;-68.223;-20.910;69.139;62.118;-339.591
36.250.000;-70.360;-23.046;64.866;51.435;-332.875
36.269.531;-64.255;-27.320;55.708;29.151;-279.151
36.289.063;-45.635;-30.678;44.719;0.5037;-196.429
36.308.594;-20.910;-31.288;34.951;-0.9921;-117.674
36.328.125;-0.1984;-31.288;27.625;-12.973;-48.687
36.347.656;-0.0763;-34.646;21.825;-0.8394;37.393
36.367.188;-20.299;-42.582;15.415;-0.4731;173.230
36.386.719;-54.792;-52.961;0.6258;-0.9921;351.496
36.406.250;-92.949;-63.645;-0.6563;-27.930;525.794
36.425.781;-124.695;-71.886;-21.215;-51.435;648.199
36.445.313;-150.031;-77.991;-35.256;-69.139;682.387
36.464.844;-173.230;-83.181;-47.772;-77.076;614.927
36.484.375;-193.681;-90.201;-58.455;-77.991;468.407
36.503.906;-205.281;-99.664;-66.087;-69.750;273.657
36.523.438;-205.586;-108.516;-69.750;-51.129;39.530
36.542.969;-196.429;-117.063;-71.581;-32.509;-227.564
36.562.500;-172.314;-130.800;-75.549;-26.404;-504.426
36.582.031;-121.947;-153.999;-82.570;-32.204;-746.490
36.601.563;-57.540;-180.861;-88.065;-36.783;-918.956
36.621.094;-0.7173;-198.871;-86.233;-28.541;-1.020.299
36.640.625;25.183;-201.313;-77.686;-14.805;-1.066.697
36.660.156;27.015;-192.766;-69.444;-10.226;-1.066.697
36.679.688;-23.352;-181.471;-66.087;-16.941;-1.015.720
36.699.219;-111.874;-171.093;-66.392;-27.015;-916.514
36.718.750;-204.060;-163.767;-68.223;-36.783;-798.382
36.738.281;-278.846;-158.578;-72.192;-50.824;-683.913
36.757.813;-333.181;-155.220;-79.823;-72.192;-589.286
36.777.344;-369.200;-153.999;-91.728;-97.222;-527.015
36.796.875;-393.010;-152.778;-104.243;-119.811;-476.954
36.816.406;-413.462;-145.757;-110.958;-132.937;-426.893
36.835.938;-433.913;-132.021;-109.737;-133.852;-394.231
36.855.469;-452.228;-115.537;-102.717;-124.084;-370.727
36.875.000;-462.912;-99.969;-90.507;-102.717;-332.265
36.894.531;-460.775;-87.149;-72.497;-69.444;-267.552
36.914.063;-446.123;-78.907;-52.656;-33.425;-182.387
36.933.594;-423.230;-74.023;-36.172;-0.7173;-90.507
36.953.125;-399.115;-72.192;-25.183;0.4731;0.5342
36.972.656;-379.884;-73.718;-18.468;0.6868;95.391
36.992.188;-367.674;-80.433;-15.415;0.3205;148.504
37.011.719;-360.958;-92.033;-16.636;-0.4121;150.336
37.031.250;-351.801;-107.601;-23.657;-14.499;132.021
37.050.781;-326.770;-125.305;-34.341;-25.794;127.442
37.070.313;-288.004;-142.094;-45.635;-35.867;132.326
37.089.844;-249.847;-156.441;-56.013;-42.888;135.989
37.109.375;-221.459;-166.209;-64.866;-46.245;134.158
37.128.906;-200.092;-169.261;-71.276;-46.245;121.642
37.148.438;-182.082;-164.683;-74.023;-45.330;108.516
37.167.969;-167.735;-152.473;-72.802;-42.888;98.443
37.187.500;-160.714;-135.684;-69.139;-37.393;69.139
37.207.031;-156.441;-119.200;-63.950;-28.846;17.552
37.226.563;-138.126;-106.074;-56.624;-16.331;-22.436
37.246.094;-102.106;-96.612;-48.077;-0.2595;-28.541
37.265.625;-74.328;-88.675;-39.530;0.7784;-0.3816
37.285.156;-71.581;-81.044;-31.288;12.057;39.225
37.304.688;-83.181;-74.634;-23.352;0.9921;84.707
37.324.219;-97.222;-70.360;-15.110;0.5647;123.168
37.343.750;-109.127;-67.002;-0.5647;0.2289;156.441
37.363.281;-117.063;-61.508;0.5342;0.2595;190.018
37.382.813;-123.779;-52.656;17.552;0.6563;225.733
37.402.344;-133.547;-43.193;28.846;12.363;264.194
37.421.875;-144.536;-35.562;38.614;19.689;307.540
37.441.406;-147.894;-31.288;46.245;27.015;338.370
37.460.938;-136.905;-30.983;52.350;31.288;340.507
37.480.469;-114.927;-34.035;56.624;31.899;323.107
37.500.000;-88.675;-39.225;57.234;28.541;299.298
37.519.531;-59.676;-45.024;53.877;22.436;281.288
37.539.063;-30.067;-50.214;48.993;15.415;272.131
37.558.594;-0.2900;-52.961;45.330;0.9921;269.689
37.578.125;19.689;-52.961;43.803;0.7173;267.247
37.597.656;35.867;-49.603;43.498;0.5342;247.711
37.617.188;40.751;-43.498;44.414;0.5037;206.807
37.636.719;34.951;-37.698;46.551;0.8700;162.241
37.656.250;27.930;-32.814;51.740;19.689;112.179
37.675.781;27.625;-28.541;60.897;36.172;23.657
37.695.313;36.172;-23.962;70.055;51.129;-72.497
37.714.844;52.350;-19.383;75.244;61.813;-88.370
37.734.375;72.497;-14.194;78.907;70.055;-12.973
37.753.906;91.728;-0.8089;82.265;77.686;102.106
37.773.438;107.295;-0.1679;85.928;86.844;220.238
37.792.969;118.590;0.3816;89.896;97.222;317.308
37.812.500;126.526;0.8394;91.728;104.243;380.800
37.832.031;132.326;12.057;90.812;105.769;414.377
37.851.563;138.736;13.584;87.454;103.938;430.250
37.871.094;145.452;12.057;82.875;99.664;436.966
37.890.625;152.167;0.7173;77.381;94.475;433.303
37.910.156;157.967;0.1984;72.802;91.422;420.177
37.929.688;162.546;-0.0763;70.665;92.643;397.589
37.949.219;164.377;-0.1679;71.276;97.833;359.737
37.968.750;163.767;-0.1374;74.023;106.685;305.708
37.988.281;161.020;-0.1068;79.823;118.590;244.353
38.007.813;157.967;-0.1374;86.538;130.495;186.966
38.027.344;155.525;-0.1374;90.507;138.431;156.746
38.046.875;153.999;-0.1679;90.507;140.873;164.072
38.066.406;156.441;-0.1984;88.675;141.484;182.082
38.085.938;164.683;-0.2289;87.759;146.062;203.449
38.105.469;175.977;-0.3205;87.759;156.441;243.742
38.125.000;186.661;-0.4426;87.149;166.514;297.161
38.144.531;194.292;-0.7173;83.181;171.398;342.643
38.164.063;197.344;-11.447;74.023;167.735;370.727
38.183.594;195.818;-16.026;61.508;153.999;380.189
38.203.125;192.155;-19.994;49.603;133.852;374.695
38.222.656;188.492;-23.657;40.140;111.874;355.464
38.242.188;186.050;-26.404;32.814;95.696;335.317
38.261.719;186.661;-26.099;28.541;91.117;334.096
38.281.250;193.071;-22.741;27.015;99.054;330.128
38.300.781;205.281;-19.078;27.625;112.485;294.414
38.320.313;219.933;-16.941;29.151;121.642;259.005
38.339.844;233.059;-18.162;27.930;115.232;253.816
38.359.375;242.216;-21.825;22.131;92.033;261.752
38.378.906;248.016;-26.709;13.278;64.866;264.805
38.398.438;251.068;-30.983;0.5952;44.109;245.879
38.417.969;251.068;-34.951;0.0763;30.678;199.176
