Time;Fp2-F4;F4-C4;C4-P4;P4-O2;C4-A1
0.0000;88.370;19.383;-11.752;-0.7173;20.299
39.063;29.457;53.571;-0.6258;-30.372;-51.435
78.125;-35.867;94.780;-0.1374;-58.150;-136.600
117.188;-88.065;125.305;1,377777778;-77.991;-208.639
156.250;-135.073;140.568;1,802083333;-89.896;-253.510
195.313;-168.346;142.094;0,10625;-96.001;-263.278
234.375;-170.482;136.905;-0.1984;-96.001;-246.795
273.438;-147.283;132.021;-0.1984;-91.422;-228.785
312.500;-126.526;130.189;-0.0458;-86.538;-226.038
351.563;-127.747;129.274;0,10625;-84.707;-232.753
390.625;-141.789;126.832;-0.1374;-85.623;-233.669
429.688;-145.452;123.474;-0.2900;-85.928;-223.596
468.750;-132.326;121.337;-0.2900;-83.791;-213.217
507.813;-118.895;121.032;-0.1374;-81.044;-213.523
546.875;-120.116;121.337;-0.0763;-80.128;-220.849
585.938;-132.021;119.811;-0.1984;-80.739;-223.291
625.000;-136.600;117.063;-0.3205;-81.044;-215.965
664.063;-127.137;114.927;-0.3510;-79.518;-206.807
703.125;-115.232;114.011;-0.2595;-77.076;-205.281
742.188;-114.011;114.011;-0.1984;-75.855;-210.165
781.250;-122.558;112.790;-0.2595;-76.160;-212.607
820.313;-127.137;110.348;-0.3816;-76.465;-207.112
859.375;-120.726;108.211;-0.4121;-75.244;-199.481
898.438;-110.653;107.295;-0.3510;-73.107;-196.734
937.500;-108.211;106.990;-0.2900;-71.886;-200.092
976.563;-114.011;105.769;-0.3205;-71.886;-201.923
1.015.625;-118.284;103.632;-0.4121;-71.886;-198.260
1.054.688;-114.011;101.801;-0.4426;-70.971;-191.545
1.093.750;-105.769;100.580;-0.4121;-69.139;-188.492
1.132.813;-102.411;99.969;-0.3816;-67.918;-190.324
1.171.875;-106.380;99.054;-0.3816;-67.613;-192.155
1.210.938;-110.043;97.222;-0.4731;-67.308;-189.408
1.250.000;-106.990;95.391;-0.5037;-66.697;-183.913
